Order_ID,Order_Date,Product_Name,Category,Price,Quantity,Total_Amount,Customer_City,State,Payment_Method,Order_Status,Delivery_Time_Days
ORD48,2025-04-09,Home Decor,Beauty,814,4,3256,Mumbai,Tamil Nadu,COD,Delivered,8
ORD49,2025-04-14,Kurti,Beauty,1271,1,1271,Mumbai,Maharashtra,Credit Card,Cancelled,5
ORD50,2025-01-22,T-shirt,Home,948,2,1896,Bangalore,Tamil Nadu,Credit Card,Cancelled,2
ORD51,2025-11-06,Kurti,Beauty,1288,5,6440,Chennai,West Bengal,Credit Card,Cancelled,4
ORD52,2025-10-01,Watch,Home,1886,5,9430,Chennai,Maharashtra,Debit Card,Delivered,4
ORD53,2025-07-29,Makeup Kit,Home,365,2,730,Chennai,Telangana,Credit Card,Cancelled,9
ORD54,2025-10-17,Bedsheet,Home,660,4,2640,Bangalore,Delhi,Debit Card,Delivered,4
ORD55,2025-10-04,Jeans,Accessories,1396,5,6980,Kolkata,Maharashtra,COD,Returned,3
ORD56,2025-10-18,Bag,Home,1788,3,5364,Kolkata,Delhi,COD,Returned,3
ORD57,2025-05-20,Bag,Fashion,678,5,3390,Kolkata,Delhi,UPI,Delivered,4
ORD58,2025-11-01,T-shirt,Accessories,1412,3,4236,Bangalore,Delhi,Debit Card,Delivered,4
ORD59,2025-06-13,Saree,Accessories,1995,5,9975,Delhi,Karnataka,Debit Card,Returned,8
ORD60,2025-05-11,Bedsheet,Home,1135,1,1135,Delhi,Karnataka,Credit Card,Returned,8
ORD61,2025-05-07,Kurti,Beauty,797,1,797,Kolkata,Maharashtra,COD,Returned,2
ORD62,2025-12-29,Home Decor,Beauty,1612,4,6448,Mumbai,Karnataka,Debit Card,Returned,7
ORD63,2025-09-28,T-shirt,Home,1026,4,4104,Delhi,Tamil Nadu,Debit Card,Delivered,10
ORD64,2025-03-23,Kurti,Fashion,1982,2,3964,Bangalore,Maharashtra,Debit Card,Cancelled,7
ORD65,2025-05-17,Watch,Beauty,826,5,4130,Mumbai,Telangana,UPI,Cancelled,5
ORD66,2025-09-20,Shoes,Fashion,1794,1,1794,Bangalore,West Bengal,Credit Card,Cancelled,4
ORD67,2025-01-23,Jeans,Fashion,1474,5,7370,Delhi,West Bengal,Debit Card,Delivered,7
ORD68,2025-02-23,Saree,Accessories,306,5,1530,Chennai,Tamil Nadu,Credit Card,Cancelled,4
ORD69,2025-11-15,Makeup Kit,Beauty,246,4,984,Kolkata,Tamil Nadu,Debit Card,Returned,3
ORD70,2025-10-23,Jeans,Accessories,324,5,1620,Kolkata,Telangana,COD,Returned,8
ORD71,2025-08-08,Jeans,Accessories,986,2,1972,Kolkata,Telangana,Debit Card,Cancelled,10
ORD72,2025-03-10,Kurti,Home,386,3,1158,Hyderabad,Delhi,Credit Card,Delivered,4
ORD73,2025-10-20,T-shirt,Beauty,1713,5,8565,Kolkata,West Bengal,COD,Delivered,10
ORD74,2025-04-07,Jeans,Beauty,1131,5,5655,Bangalore,Tamil Nadu,Debit Card,Returned,9
ORD75,2025-05-23,Makeup Kit,Beauty,1995,3,5985,Bangalore,West Bengal,UPI,Delivered,3
ORD76,2025-05-29,Bedsheet,Accessories,439,5,2195,Bangalore,Maharashtra,COD,Cancelled,7
ORD77,2025-10-30,Makeup Kit,Home,943,5,4715,Bangalore,West Bengal,COD,Cancelled,3
ORD78,2025-12-24,Shoes,Fashion,1058,4,4232,Bangalore,Karnataka,Credit Card,Cancelled,3
ORD79,2025-12-13,Kurti,Home,281,1,281,Hyderabad,Delhi,UPI,Cancelled,7
ORD80,2025-08-08,Saree,Home,1116,1,1116,Delhi,Tamil Nadu,Debit Card,Cancelled,8
ORD81,2025-08-15,Jeans,Home,1428,4,5712,Bangalore,Maharashtra,UPI,Delivered,8
ORD82,2025-08-29,Bag,Accessories,876,4,3504,Hyderabad,Tamil Nadu,COD,Delivered,8
ORD83,2025-10-15,Bedsheet,Home,718,1,718,Chennai,Delhi,Debit Card,Returned,4
ORD84,2025-10-10,Saree,Home,844,3,2532,Bangalore,Telangana,Debit Card,Returned,8
ORD85,2025-06-20,Bag,Beauty,1264,5,6320,Hyderabad,Maharashtra,UPI,Returned,10
ORD86,2025-11-09,Watch,Home,800,3,2400,Hyderabad,Telangana,COD,Delivered,9
ORD87,2025-08-08,Bedsheet,Beauty,779,2,1558,Chennai,Tamil Nadu,UPI,Returned,2
ORD88,2025-07-12,Kurti,Home,1355,3,4065,Delhi,Delhi,Credit Card,Cancelled,9
ORD89,2025-05-31,Kurti,Beauty,782,4,3128,Bangalore,Telangana,COD,Delivered,6
ORD90,2025-06-10,Jeans,Fashion,992,3,2976,Bangalore,Telangana,Credit Card,Cancelled,3
ORD91,2025-12-09,Home Decor,Fashion,804,5,4020,Bangalore,Telangana,COD,Cancelled,7
ORD92,2025-05-24,Makeup Kit,Home,385,1,385,Bangalore,Delhi,Credit Card,Delivered,2
ORD93,2025-09-22,Shoes,Fashion,493,3,1479,Hyderabad,West Bengal,Credit Card,Delivered,2
ORD94,2025-09-01,Makeup Kit,Fashion,640,1,640,Delhi,Karnataka,COD,Delivered,9
ORD95,2025-04-13,T-shirt,Home,1451,4,5804,Bangalore,Maharashtra,COD,Delivered,5
ORD96,2025-04-03,Watch,Accessories,1805,1,1805,Mumbai,Karnataka,COD,Cancelled,4
ORD97,2025-05-05,Saree,Accessories,968,3,2904,Bangalore,Tamil Nadu,Debit Card,Cancelled,10
ORD98,2025-11-19,T-shirt,Accessories,226,4,904,Chennai,Maharashtra,UPI,Cancelled,6
ORD99,2025-06-15,Shoes,Beauty,243,2,486,Mumbai,Tamil Nadu,COD,Cancelled,5
ORD100,2025-01-24,Saree,Beauty,659,4,2636,Kolkata,Tamil Nadu,UPI,Cancelled,2
ORD101,2025-09-27,Bedsheet,Accessories,1750,1,1750,Delhi,West Bengal,COD,Returned,8
ORD102,2025-11-23,Home Decor,Home,303,2,606,Bangalore,Tamil Nadu,Credit Card,Returned,10
ORD103,2025-06-16,Shoes,Fashion,1092,3,3276,Kolkata,Tamil Nadu,Credit Card,Cancelled,2
ORD104,2025-05-27,Bedsheet,Home,1011,5,5055,Kolkata,Delhi,UPI,Cancelled,6
ORD105,2025-12-05,Bag,Beauty,1738,4,6952,Mumbai,West Bengal,Debit Card,Cancelled,7
ORD106,2025-06-06,Jeans,Accessories,476,1,476,Chennai,Tamil Nadu,UPI,Cancelled,10
ORD107,2025-08-28,Kurti,Accessories,1619,1,1619,Mumbai,Maharashtra,Debit Card,Delivered,8
ORD108,2025-07-06,Saree,Home,1538,1,1538,Chennai,Telangana,COD,Delivered,8
ORD109,2025-07-17,Shoes,Beauty,873,3,2619,Chennai,Tamil Nadu,Credit Card,Delivered,7
ORD110,2025-06-12,Makeup Kit,Beauty,1336,5,6680,Hyderabad,Maharashtra,Debit Card,Cancelled,2
ORD111,2025-07-22,Bag,Accessories,1551,4,6204,Chennai,Karnataka,COD,Returned,6
ORD112,2025-05-16,Shoes,Fashion,286,2,572,Delhi,Delhi,COD,Delivered,10
ORD113,2025-06-21,Watch,Fashion,1975,5,9875,Delhi,Tamil Nadu,UPI,Delivered,8
ORD114,2025-06-09,Shoes,Home,1090,4,4360,Delhi,Maharashtra,Debit Card,Returned,3
ORD115,2025-12-21,Bag,Fashion,982,1,982,Delhi,Telangana,COD,Delivered,10
ORD116,2025-02-01,T-shirt,Accessories,1727,4,6908,Bangalore,West Bengal,UPI,Delivered,4
ORD117,2025-12-29,Watch,Fashion,984,2,1968,Mumbai,Tamil Nadu,COD,Delivered,5
ORD118,2025-05-16,Bag,Home,537,5,2685,Chennai,Tamil Nadu,Debit Card,Cancelled,8
ORD119,2025-05-24,Saree,Fashion,652,1,652,Bangalore,Maharashtra,Debit Card,Returned,10
ORD120,2025-02-11,Home Decor,Fashion,1872,1,1872,Chennai,Delhi,Credit Card,Cancelled,6
ORD121,2025-05-27,Bag,Accessories,785,5,3925,Kolkata,Maharashtra,Credit Card,Returned,7
ORD122,2025-04-08,Saree,Accessories,1804,3,5412,Mumbai,Tamil Nadu,Debit Card,Delivered,8
ORD123,2025-07-09,Kurti,Accessories,1345,1,1345,Delhi,Karnataka,Credit Card,Delivered,3
ORD124,2025-07-11,Shoes,Accessories,1391,5,6955,Hyderabad,Telangana,COD,Returned,3
ORD125,2025-11-10,Watch,Home,1197,2,2394,Chennai,Karnataka,Debit Card,Returned,9
ORD126,2025-05-25,Saree,Fashion,913,2,1826,Kolkata,Telangana,Credit Card,Delivered,10
ORD127,2025-06-07,Watch,Beauty,819,2,1638,Delhi,Maharashtra,Credit Card,Cancelled,6
ORD128,2025-08-22,Saree,Beauty,1352,4,5408,Kolkata,Delhi,COD,Returned,10
ORD129,2025-07-22,Bag,Accessories,956,4,3824,Chennai,Delhi,Credit Card,Cancelled,8
ORD130,2025-10-05,Saree,Accessories,1947,2,3894,Kolkata,Maharashtra,COD,Cancelled,4
ORD131,2025-02-15,Jeans,Fashion,702,5,3510,Hyderabad,Karnataka,UPI,Returned,10
ORD132,2025-06-14,Saree,Fashion,1508,4,6032,Chennai,Maharashtra,COD,Delivered,4
ORD133,2025-04-16,Kurti,Fashion,1970,2,3940,Hyderabad,Tamil Nadu,COD,Returned,7
ORD134,2025-12-18,Bedsheet,Accessories,1368,2,2736,Kolkata,Maharashtra,COD,Cancelled,8
ORD135,2025-05-04,Bedsheet,Beauty,927,3,2781,Delhi,Karnataka,Credit Card,Delivered,8
ORD136,2025-03-14,Bedsheet,Home,1167,4,4668,Mumbai,Telangana,UPI,Delivered,2
ORD137,2025-07-19,Watch,Fashion,1422,1,1422,Delhi,Telangana,Credit Card,Delivered,9
ORD138,2025-02-07,Makeup Kit,Accessories,1317,3,3951,Mumbai,Tamil Nadu,COD,Returned,5
ORD139,2025-06-14,Watch,Beauty,1750,4,7000,Chennai,Karnataka,COD,Returned,5
ORD140,2025-08-06,Home Decor,Fashion,326,4,1304,Mumbai,Tamil Nadu,Debit Card,Cancelled,5
ORD141,2025-07-27,Home Decor,Home,1514,4,6056,Bangalore,Telangana,UPI,Returned,8
ORD142,2025-11-30,Shoes,Fashion,1128,2,2256,Mumbai,Karnataka,Debit Card,Returned,8
ORD143,2025-04-21,Kurti,Fashion,402,3,1206,Mumbai,Maharashtra,Debit Card,Delivered,4
ORD144,2025-06-19,Shoes,Fashion,974,4,3896,Chennai,Telangana,Credit Card,Delivered,2
ORD145,2025-06-11,T-shirt,Accessories,224,4,896,Mumbai,Karnataka,COD,Returned,9
ORD146,2025-08-12,Jeans,Accessories,1622,4,6488,Hyderabad,Tamil Nadu,Credit Card,Cancelled,9
ORD147,2025-04-25,Saree,Home,1196,5,5980,Delhi,Tamil Nadu,Debit Card,Returned,2
ORD148,2025-09-07,Makeup Kit,Home,515,1,515,Bangalore,West Bengal,COD,Delivered,2
ORD149,2025-10-12,Saree,Fashion,1479,2,2958,Mumbai,Maharashtra,Credit Card,Returned,6
ORD150,2025-08-23,Shoes,Beauty,1091,3,3273,Chennai,Tamil Nadu,Debit Card,Cancelled,2
ORD151,2025-02-02,Bedsheet,Beauty,221,3,663,Kolkata,Delhi,Debit Card,Delivered,2
ORD152,2025-03-01,Saree,Beauty,444,2,888,Kolkata,Delhi,Credit Card,Returned,3
ORD153,2025-12-11,T-shirt,Fashion,1168,4,4672,Delhi,Maharashtra,Debit Card,Delivered,2
ORD154,2025-10-30,Home Decor,Home,1128,2,2256,Hyderabad,Karnataka,UPI,Returned,8
ORD155,2025-02-13,Watch,Accessories,1609,5,8045,Chennai,Telangana,Debit Card,Delivered,7
ORD156,2025-06-22,Home Decor,Fashion,972,2,1944,Delhi,Karnataka,Debit Card,Returned,4
ORD157,2025-06-01,T-shirt,Accessories,1774,5,8870,Kolkata,Karnataka,Credit Card,Returned,5
ORD158,2025-04-30,Saree,Accessories,878,3,2634,Delhi,West Bengal,COD,Cancelled,5
ORD159,2025-10-12,Kurti,Beauty,1902,5,9510,Kolkata,Delhi,UPI,Returned,8
ORD160,2025-04-05,T-shirt,Beauty,382,1,382,Delhi,Delhi,Debit Card,Cancelled,3
ORD161,2025-01-15,Saree,Fashion,1397,5,6985,Bangalore,Karnataka,COD,Delivered,2
ORD162,2025-11-29,Home Decor,Beauty,997,2,1994,Mumbai,Karnataka,COD,Returned,3
ORD163,2025-05-01,Kurti,Fashion,1811,2,3622,Mumbai,Karnataka,Debit Card,Returned,8
ORD164,2025-10-08,Saree,Home,654,2,1308,Chennai,Tamil Nadu,Credit Card,Returned,4
ORD165,2025-10-03,Kurti,Home,1248,3,3744,Delhi,West Bengal,Debit Card,Cancelled,8
ORD166,2025-09-01,Home Decor,Beauty,1024,1,1024,Hyderabad,Tamil Nadu,COD,Returned,2
ORD167,2025-06-15,Bedsheet,Beauty,984,5,4920,Bangalore,West Bengal,COD,Delivered,6
ORD168,2025-01-03,Kurti,Accessories,483,1,483,Bangalore,Maharashtra,UPI,Cancelled,5
ORD169,2025-09-04,Makeup Kit,Beauty,502,2,1004,Delhi,Karnataka,Credit Card,Cancelled,8
ORD170,2025-07-12,Jeans,Home,1879,1,1879,Kolkata,Telangana,UPI,Cancelled,7
ORD171,2025-07-26,Watch,Beauty,976,3,2928,Delhi,Maharashtra,UPI,Returned,4
ORD172,2025-08-18,Bag,Beauty,256,5,1280,Chennai,Karnataka,COD,Delivered,10
ORD173,2025-01-13,Bag,Home,821,2,1642,Delhi,Maharashtra,Debit Card,Returned,3
ORD174,2025-10-29,T-shirt,Home,548,4,2192,Mumbai,Delhi,UPI,Cancelled,7
ORD175,2025-06-16,Home Decor,Accessories,677,5,3385,Bangalore,Telangana,Credit Card,Cancelled,3
ORD176,2025-04-10,Bedsheet,Beauty,1335,1,1335,Chennai,Karnataka,COD,Delivered,10
ORD177,2025-03-11,Watch,Accessories,1396,1,1396,Bangalore,West Bengal,Credit Card,Delivered,6
ORD178,2025-04-17,Jeans,Home,844,1,844,Hyderabad,Telangana,COD,Delivered,7
ORD179,2025-03-23,Watch,Beauty,1865,3,5595,Delhi,West Bengal,Debit Card,Cancelled,3
ORD180,2025-04-19,Makeup Kit,Home,489,3,1467,Kolkata,Maharashtra,Credit Card,Cancelled,10
ORD181,2025-04-29,Makeup Kit,Fashion,1307,5,6535,Bangalore,West Bengal,Credit Card,Delivered,10
ORD182,2025-01-06,Jeans,Fashion,1377,2,2754,Delhi,Delhi,Debit Card,Delivered,6
ORD183,2025-07-06,Makeup Kit,Accessories,812,5,4060,Delhi,Maharashtra,UPI,Delivered,9
ORD184,2025-09-05,T-shirt,Home,1586,1,1586,Mumbai,Karnataka,UPI,Returned,8
ORD185,2025-06-29,Home Decor,Accessories,679,3,2037,Hyderabad,Maharashtra,COD,Cancelled,7
ORD186,2025-12-02,Shoes,Fashion,1988,1,1988,Kolkata,Maharashtra,UPI,Delivered,10
ORD187,2025-12-30,Saree,Beauty,1121,3,3363,Hyderabad,Delhi,COD,Returned,7
ORD188,2025-06-08,T-shirt,Accessories,615,3,1845,Hyderabad,Karnataka,COD,Delivered,8
ORD189,2025-08-28,Bag,Beauty,1536,5,7680,Delhi,Tamil Nadu,Credit Card,Cancelled,4
ORD190,2025-04-07,Home Decor,Accessories,1208,1,1208,Delhi,Telangana,Debit Card,Cancelled,6
ORD191,2025-09-08,Saree,Home,1474,1,1474,Kolkata,Maharashtra,UPI,Returned,6
ORD192,2025-10-22,Saree,Beauty,283,3,849,Delhi,Tamil Nadu,COD,Cancelled,9
ORD193,2025-03-26,Home Decor,Accessories,523,5,2615,Bangalore,Tamil Nadu,COD,Cancelled,10
ORD194,2025-06-15,T-shirt,Fashion,1330,3,3990,Kolkata,Maharashtra,COD,Delivered,3
ORD195,2025-02-21,Watch,Accessories,850,5,4250,Hyderabad,Tamil Nadu,Debit Card,Delivered,3
ORD196,2025-07-15,Bedsheet,Home,505,1,505,Bangalore,West Bengal,UPI,Cancelled,6
ORD197,2025-11-23,Bag,Fashion,1549,1,1549,Hyderabad,Maharashtra,Credit Card,Returned,5
ORD198,2025-07-30,Jeans,Accessories,1395,5,6975,Kolkata,Delhi,UPI,Cancelled,8
ORD199,2025-03-08,Makeup Kit,Beauty,1368,2,2736,Chennai,West Bengal,UPI,Returned,10
ORD200,2025-09-20,Bedsheet,Beauty,1415,2,2830,Chennai,Maharashtra,Debit Card,Returned,8
ORD201,2025-02-12,Bag,Fashion,1351,1,1351,Kolkata,West Bengal,COD,Delivered,8
ORD202,2025-07-01,Home Decor,Home,1576,5,7880,Mumbai,Telangana,Debit Card,Delivered,3
ORD203,2025-08-07,Shoes,Fashion,961,4,3844,Hyderabad,Delhi,UPI,Delivered,2
ORD204,2025-12-25,Jeans,Accessories,1392,5,6960,Delhi,Telangana,Credit Card,Returned,3
ORD205,2025-03-30,Shoes,Fashion,1902,1,1902,Kolkata,Karnataka,Debit Card,Delivered,7
ORD206,2025-11-14,Bag,Accessories,954,1,954,Mumbai,Maharashtra,Debit Card,Cancelled,10
ORD207,2025-06-06,Bedsheet,Home,252,4,1008,Hyderabad,Karnataka,UPI,Returned,3
ORD208,2025-04-13,Bag,Fashion,1260,3,3780,Mumbai,Telangana,Debit Card,Cancelled,3
ORD209,2025-07-04,Bag,Accessories,1944,4,7776,Kolkata,Delhi,COD,Cancelled,3
ORD210,2025-12-22,Bedsheet,Accessories,1861,3,5583,Hyderabad,West Bengal,COD,Delivered,2
ORD211,2025-06-16,T-shirt,Fashion,1341,5,6705,Hyderabad,Telangana,UPI,Delivered,4
ORD212,2025-08-20,Watch,Home,929,1,929,Chennai,Telangana,Credit Card,Returned,4
ORD213,2025-01-06,T-shirt,Fashion,703,2,1406,Kolkata,Karnataka,Credit Card,Cancelled,2
ORD214,2025-10-01,Home Decor,Accessories,578,2,1156,Hyderabad,West Bengal,UPI,Returned,5
ORD215,2025-04-12,Kurti,Home,511,3,1533,Chennai,Maharashtra,Credit Card,Cancelled,7
ORD216,2025-09-13,Kurti,Accessories,724,4,2896,Bangalore,West Bengal,Debit Card,Returned,10
ORD217,2025-01-14,Bedsheet,Home,225,4,900,Kolkata,Maharashtra,Credit Card,Returned,5
ORD218,2025-10-22,Makeup Kit,Home,1740,1,1740,Chennai,Delhi,COD,Cancelled,9
ORD219,2025-07-09,Bag,Home,818,1,818,Hyderabad,Karnataka,Debit Card,Cancelled,3
ORD220,2025-10-02,Watch,Fashion,1160,3,3480,Hyderabad,West Bengal,Debit Card,Returned,4
ORD221,2025-04-14,T-shirt,Home,1162,3,3486,Delhi,Delhi,Debit Card,Returned,4
ORD222,2025-11-06,Saree,Beauty,359,3,1077,Hyderabad,Tamil Nadu,UPI,Returned,3
ORD223,2025-11-20,Makeup Kit,Fashion,1781,5,8905,Chennai,Karnataka,Credit Card,Cancelled,10
ORD224,2025-09-28,Shoes,Beauty,1759,5,8795,Delhi,Karnataka,Credit Card,Returned,7
ORD225,2025-08-25,Makeup Kit,Fashion,1763,1,1763,Hyderabad,Tamil Nadu,COD,Returned,10
ORD226,2025-11-24,Shoes,Fashion,481,4,1924,Hyderabad,Tamil Nadu,COD,Cancelled,8
ORD227,2025-10-06,T-shirt,Accessories,928,1,928,Delhi,Maharashtra,Credit Card,Returned,8
ORD228,2025-04-28,T-shirt,Beauty,1124,1,1124,Mumbai,Karnataka,COD,Returned,8
ORD229,2025-02-15,Kurti,Beauty,1242,4,4968,Kolkata,West Bengal,Credit Card,Cancelled,8
ORD230,2025-08-22,T-shirt,Accessories,822,5,4110,Hyderabad,Telangana,UPI,Returned,5
ORD231,2025-04-04,Watch,Home,1881,4,7524,Hyderabad,Maharashtra,Credit Card,Returned,6
ORD232,2025-03-01,Bedsheet,Home,1434,4,5736,Hyderabad,Telangana,Credit Card,Delivered,10
ORD233,2025-09-10,Saree,Accessories,407,3,1221,Chennai,Maharashtra,Debit Card,Returned,9
ORD234,2025-11-10,Home Decor,Beauty,1104,1,1104,Bangalore,Maharashtra,COD,Returned,7
ORD235,2025-01-04,Makeup Kit,Fashion,1468,2,2936,Kolkata,Telangana,Credit Card,Returned,6
ORD236,2025-05-04,Makeup Kit,Fashion,1494,1,1494,Delhi,Karnataka,Credit Card,Delivered,9
ORD237,2025-08-01,Bag,Home,1890,3,5670,Kolkata,Tamil Nadu,COD,Cancelled,3
ORD238,2025-12-03,Saree,Accessories,1327,4,5308,Chennai,Delhi,Debit Card,Cancelled,10
ORD239,2025-10-30,Makeup Kit,Accessories,985,4,3940,Hyderabad,Maharashtra,Credit Card,Delivered,3
ORD240,2025-04-29,Saree,Home,1196,5,5980,Bangalore,Tamil Nadu,Credit Card,Delivered,5
ORD241,2025-02-27,T-shirt,Beauty,1115,3,3345,Hyderabad,Telangana,Credit Card,Cancelled,7
ORD242,2025-03-15,Bedsheet,Home,452,1,452,Hyderabad,Tamil Nadu,UPI,Delivered,10
ORD243,2025-11-21,Bedsheet,Accessories,655,4,2620,Chennai,Tamil Nadu,Credit Card,Returned,2
ORD244,2025-06-09,Watch,Fashion,415,2,830,Mumbai,Telangana,Debit Card,Delivered,7
ORD245,2025-01-05,Makeup Kit,Beauty,1088,2,2176,Bangalore,Karnataka,Credit Card,Returned,10
ORD246,2025-07-30,Saree,Beauty,1361,4,5444,Chennai,Maharashtra,UPI,Returned,9
ORD247,2025-07-14,Shoes,Beauty,904,4,3616,Hyderabad,Tamil Nadu,Debit Card,Delivered,2
ORD248,2025-01-03,Kurti,Home,1849,5,9245,Delhi,Telangana,Debit Card,Returned,8
ORD249,2025-11-10,T-shirt,Accessories,370,4,1480,Mumbai,Maharashtra,COD,Delivered,10
ORD250,2025-04-05,Bag,Home,1007,4,4028,Kolkata,Tamil Nadu,UPI,Delivered,9
ORD251,2025-12-14,Shoes,Beauty,585,1,585,Bangalore,Delhi,UPI,Cancelled,4
ORD252,2025-06-18,Bedsheet,Fashion,457,2,914,Mumbai,Tamil Nadu,UPI,Delivered,10
ORD253,2025-11-05,Shoes,Accessories,833,3,2499,Hyderabad,Delhi,Debit Card,Cancelled,7
ORD254,2025-09-25,Bag,Beauty,999,5,4995,Bangalore,West Bengal,COD,Returned,4
ORD255,2025-04-17,T-shirt,Home,945,4,3780,Chennai,Telangana,UPI,Cancelled,8
ORD256,2025-09-29,Bag,Beauty,1502,3,4506,Chennai,Tamil Nadu,Debit Card,Returned,4
ORD257,2025-04-18,Shoes,Beauty,1777,5,8885,Mumbai,Maharashtra,UPI,Returned,6
ORD258,2025-04-14,Makeup Kit,Accessories,1571,4,6284,Kolkata,Delhi,UPI,Returned,6
ORD259,2025-06-25,Jeans,Home,742,5,3710,Delhi,Maharashtra,Debit Card,Cancelled,4
ORD260,2025-08-06,Watch,Home,656,1,656,Hyderabad,Tamil Nadu,COD,Delivered,4
